Date,Pred,Real
2015-01-01 2:00,68.37981,72
2015-01-01 3:00,84.0767,88
2015-01-01 4:00,102.096886,106
2015-01-01 5:00,137.08893,140
2015-01-01 6:00,155.00555,157
2015-01-01 7:00,168.875,170
2015-01-01 8:00,161.38951,163
2015-01-01 9:00,148.65244,151
2015-01-01 10:00,112.26434,116
2015-01-01 11:00,95.04509,99
2015-01-01 12:00,70.32476,74
2015-01-01 13:00,55.86087,59
2015-01-01 14:00,43.561745,46
2015-01-01 15:00,39.822895,42
2015-01-01 16:00,39.822895,42
2015-01-01 17:00,45.439278,48
2015-01-01 18:00,42.625008,45
2015-01-01 19:00,42.625008,45
2015-01-01 20:00,44.49984,47
2015-01-01 21:00,37.033047,39
2015-01-01 22:00,35.180016,37
2015-01-01 23:00,25.998213,27
2015-01-02 0:00,27.823374,29
2015-01-02 1:00,25.998213,27
2015-01-02 2:00,22.364883,23
2015-01-02 3:00,25.998213,27
2015-01-02 4:00,24.178703,25
2015-01-02 5:00,22.364883,23
2015-01-02 6:00,24.178703,25
2015-01-02 7:00,31.490541,33
2015-01-02 8:00,25.998213,27
2015-01-02 9:00,42.625008,45
2015-01-02 10:00,53.0028,56
2015-01-02 11:00,35.180016,37
2015-01-02 12:00,40.75557,43
2015-01-02 13:00,43.561745,46
2015-01-02 14:00,42.625008,45
2015-01-02 15:00,48.265636,51
2015-01-02 16:00,51.103973,54
2015-01-02 17:00,70.32476,74
2015-01-02 18:00,61.612038,65
2015-01-02 19:00,30.571653,32
2015-01-02 20:00,43.561745,46
2015-01-02 21:00,33.332504,35
2015-01-02 22:00,29.654163,31
2015-01-02 23:00,34.25556,36
2015-01-03 0:00,33.332504,35
2015-01-03 1:00,43.561745,46
2015-01-03 2:00,36.10584,38
2015-01-03 3:00,39.822895,42
2015-01-03 4:00,38.89158,41
2015-01-03 5:00,36.10584,38
2015-01-03 6:00,31.490541,33
2015-01-03 7:00,33.332504,35
2015-01-03 8:00,37.033047,39
2015-01-03 9:00,39.822895,42
2015-01-03 10:00,46.380066,49
2015-01-03 11:00,57.77277,61
2015-01-03 12:00,43.561745,46
2015-01-03 13:00,48.265636,51
2015-01-03 14:00,49.210423,52
2015-01-03 15:00,37.033047,39
2015-01-03 16:00,42.625008,45
2015-01-03 17:00,52.052734,55
2015-01-03 18:00,32.410828,34
2015-01-03 19:00,24.178703,25
2015-01-03 20:00,25.998213,27
2015-01-03 21:00,29.654163,31
2015-01-03 22:00,22.364883,23
2015-01-03 23:00,23.271088,24
2015-01-04 0:00,21.46011,22
2015-01-04 1:00,36.10584,38
2015-01-04 2:00,35.180016,37
2015-01-04 3:00,39.822895,42
2015-01-04 4:00,38.89158,41
2015-01-04 5:00,39.822895,42
2015-01-04 6:00,37.033047,39
2015-01-04 7:00,36.10584,38
2015-01-04 8:00,34.25556,36
2015-01-04 9:00,36.10584,38
2015-01-04 10:00,33.332504,35
2015-01-04 11:00,33.332504,35
2015-01-04 12:00,38.89158,41
2015-01-04 13:00,35.180016,37
2015-01-04 14:00,33.332504,35
2015-01-04 15:00,36.10584,38
2015-01-04 16:00,41.689606,44
2015-01-04 17:00,51.103973,54
2015-01-04 18:00,50.156548,53
2015-01-04 19:00,54.90688,58
2015-01-04 20:00,57.77277,61
2015-01-04 21:00,56.816174,60
2015-01-04 22:00,52.052734,55
2015-01-04 23:00,53.0028,56
2015-01-05 0:00,54.90688,58
2015-01-05 1:00,54.90688,58
2015-01-05 2:00,70.32476,74
2015-01-05 3:00,66.43984,70
2015-01-05 4:00,69.35166,73
2015-01-05 5:00,61.612038,65
2015-01-05 6:00,53.954185,57
2015-01-05 7:00,53.0028,56
2015-01-05 8:00,54.90688,58
2015-01-05 9:00,53.954185,57
2015-01-05 10:00,53.0028,56
2015-01-05 11:00,55.86087,59
2015-01-05 12:00,58.730656,62
2015-01-05 13:00,76.18931,80
2015-01-05 14:00,82.09767,86
2015-01-05 15:00,92.03984,96
2015-01-05 16:00,95.04509,99
2015-01-05 17:00,89.04494,93
2015-01-05 18:00,91.04038,95
2015-01-05 19:00,83.08659,87
2015-01-05 20:00,85.068,89
2015-01-05 21:00,89.04494,93
2015-01-05 22:00,99.06798,103
2015-01-05 23:00,56.816174,60
2015-01-06 0:00,83.08659,87
2015-01-06 1:00,96.04911,100
2015-01-06 2:00,106.15087,110
2015-01-06 3:00,84.0767,88
2015-01-06 4:00,70.32476,74
2015-01-06 5:00,54.90688,58
2015-01-06 6:00,37.961624,40
2015-01-06 7:00,28.73807,30
2015-01-06 8:00,25.998213,27
2015-01-06 9:00,44.49984,47
2015-01-06 10:00,56.816174,60
2015-01-06 11:00,66.43984,70
2015-01-06 12:00,59.68983,63
2015-01-06 13:00,48.265636,51
2015-01-06 14:00,48.265636,51
2015-01-06 15:00,50.156548,53
2015-01-06 16:00,46.380066,49
2015-01-06 17:00,37.033047,39
2015-01-06 18:00,33.332504,35
2015-01-06 19:00,16.061602,16
2015-01-06 20:00,19.654861,20
2015-01-06 21:00,25.087763,26
2015-01-06 22:00,24.178703,25
2015-01-06 23:00,20.556772,21
2015-01-07 0:00,16.061602,16
2015-01-07 1:00,12.491523,12
2015-01-07 2:00,16.957758,17
2015-01-07 3:00,18.754381,19
2015-01-07 4:00,16.957758,17
2015-01-07 5:00,24.178703,25
2015-01-07 6:00,26.91009,28
2015-01-07 7:00,35.180016,37
2015-01-07 8:00,39.822895,42
2015-01-07 9:00,39.822895,42
2015-01-07 10:00,49.210423,52
2015-01-07 11:00,54.90688,58
2015-01-07 12:00,53.0028,56
2015-01-07 13:00,53.954185,57
2015-01-07 14:00,49.210423,52
2015-01-07 15:00,70.32476,74
2015-01-07 16:00,54.90688,58
2015-01-07 17:00,61.612038,65
2015-01-07 18:00,45.439278,48
2015-01-07 19:00,43.561745,46
2015-01-07 20:00,42.625008,45
2015-01-07 21:00,46.380066,49
2015-01-07 22:00,48.265636,51
2015-01-07 23:00,44.49984,47
2015-01-08 0:00,48.265636,51
2015-01-08 1:00,39.822895,42
2015-01-08 2:00,52.052734,55
2015-01-08 3:00,46.380066,49
2015-01-08 4:00,48.265636,51
2015-01-08 5:00,46.380066,49
2015-01-08 6:00,45.439278,48
2015-01-08 7:00,43.561745,46
2015-01-08 8:00,41.689606,44
2015-01-08 9:00,42.625008,45
2015-01-08 10:00,52.052734,55
2015-01-08 11:00,57.77277,61
2015-01-08 12:00,49.210423,52
2015-01-08 13:00,51.103973,54
2015-01-08 14:00,50.156548,53
2015-01-08 15:00,41.689606,44
2015-01-08 16:00,54.90688,58
2015-01-08 17:00,69.35166,73
2015-01-08 18:00,59.68983,63
2015-01-08 19:00,31.490541,33
2015-01-08 20:00,35.180016,37
2015-01-08 21:00,37.033047,39
2015-01-08 22:00,41.689606,44
2015-01-08 23:00,37.033047,39
2015-01-09 0:00,33.332504,35
2015-01-09 1:00,34.25556,36
2015-01-09 2:00,37.961624,40
2015-01-09 3:00,41.689606,44
2015-01-09 4:00,33.332504,35
2015-01-09 5:00,30.571653,32
2015-01-09 6:00,33.332504,35
2015-01-09 7:00,37.033047,39
2015-01-09 8:00,41.689606,44
2015-01-09 9:00,42.625008,45
2015-01-09 10:00,51.103973,54
2015-01-09 11:00,67.409195,71
2015-01-09 12:00,60.65029,64
2015-01-09 13:00,53.0028,56
2015-01-09 14:00,49.210423,52
2015-01-09 15:00,52.052734,55
2015-01-09 16:00,52.052734,55
2015-01-09 17:00,46.380066,49
2015-01-09 18:00,43.561745,46
2015-01-09 19:00,36.10584,38
2015-01-09 20:00,39.822895,42
2015-01-09 21:00,43.561745,46
2015-01-09 22:00,39.822895,42
2015-01-09 23:00,47.322186,50
2015-01-10 0:00,35.180016,37
2015-01-10 1:00,29.654163,31
2015-01-10 2:00,39.822895,42
2015-01-10 3:00,41.689606,44
2015-01-10 4:00,45.439278,48
2015-01-10 5:00,40.75557,43
2015-01-10 6:00,44.49984,47
2015-01-10 7:00,41.689606,44
2015-01-10 8:00,48.265636,51
2015-01-10 9:00,45.439278,48
2015-01-10 10:00,47.322186,50
2015-01-10 11:00,65.471756,69
2015-01-10 12:00,59.68983,63
2015-01-10 13:00,36.10584,38
2015-01-10 14:00,33.332504,35
2015-01-10 15:00,36.10584,38
2015-01-10 16:00,24.178703,25
2015-01-10 17:00,20.556772,21
2015-01-10 18:00,22.364883,23
2015-01-10 19:00,23.271088,24
2015-01-10 20:00,24.178703,25
2015-01-10 21:00,27.823374,29
2015-01-10 22:00,25.998213,27
2015-01-10 23:00,23.271088,24
2015-01-11 0:00,25.087763,26
2015-01-11 1:00,19.654861,20
2015-01-11 2:00,28.73807,30
2015-01-11 3:00,25.998213,27
2015-01-11 4:00,30.571653,32
2015-01-11 5:00,33.332504,35
2015-01-11 6:00,40.75557,43
2015-01-11 7:00,56.816174,60
2015-01-11 8:00,67.409195,71
2015-01-11 9:00,49.210423,52
2015-01-11 10:00,47.322186,50
2015-01-11 11:00,53.0028,56
2015-01-11 12:00,54.90688,58
2015-01-11 13:00,53.954185,57
2015-01-11 14:00,43.561745,46
2015-01-11 15:00,48.265636,51
2015-01-11 16:00,44.49984,47
2015-01-11 17:00,43.561745,46
2015-01-11 18:00,44.49984,47
2015-01-11 19:00,47.322186,50
2015-01-11 20:00,54.90688,58
2015-01-11 21:00,52.052734,55
2015-01-11 22:00,54.90688,58
2015-01-11 23:00,48.265636,51
2015-01-12 0:00,42.625008,45
2015-01-12 1:00,38.89158,41
2015-01-12 2:00,38.89158,41
2015-01-12 3:00,37.033047,39
2015-01-12 4:00,35.180016,37
2015-01-12 5:00,33.332504,35
2015-01-12 6:00,33.332504,35
2015-01-12 7:00,39.822895,42
2015-01-12 8:00,40.75557,43
2015-01-12 9:00,44.49984,47
2015-01-12 10:00,40.75557,43
2015-01-12 11:00,52.052734,55
2015-01-12 12:00,48.265636,51
2015-01-12 13:00,37.961624,40
2015-01-12 14:00,31.490541,33
2015-01-12 15:00,47.322186,50
2015-01-12 16:00,53.0028,56
2015-01-12 17:00,57.77277,61
2015-01-12 18:00,59.68983,63
2015-01-12 19:00,50.156548,53
2015-01-12 20:00,44.49984,47
2015-01-12 21:00,52.052734,55
2015-01-12 22:00,50.156548,53
2015-01-12 23:00,49.210423,52
2015-01-13 0:00,42.625008,45
2015-01-13 1:00,46.380066,49
2015-01-13 2:00,53.0028,56
2015-01-13 3:00,51.103973,54
2015-01-13 4:00,52.052734,55
2015-01-13 5:00,52.052734,55
2015-01-13 6:00,64.50493,68
2015-01-13 7:00,62.575058,66
2015-01-13 8:00,54.90688,58
2015-01-13 9:00,49.210423,52
2015-01-13 10:00,47.322186,50
2015-01-13 11:00,51.103973,54
2015-01-13 12:00,53.954185,57
2015-01-13 13:00,52.052734,55
2015-01-13 14:00,43.561745,46
2015-01-13 15:00,33.332504,35
2015-01-13 16:00,32.410828,34
2015-01-13 17:00,31.490541,33
2015-01-13 18:00,33.332504,35
2015-01-13 19:00,34.25556,36
2015-01-13 20:00,45.439278,48
2015-01-13 21:00,50.156548,53
2015-01-13 22:00,38.89158,41
2015-01-13 23:00,46.380066,49
2015-01-14 0:00,43.561745,46
2015-01-14 1:00,51.103973,54
2015-01-14 2:00,65.471756,69
2015-01-14 3:00,65.471756,69
2015-01-14 4:00,67.409195,71
2015-01-14 5:00,62.575058,66
2015-01-14 6:00,60.65029,64
2015-01-14 7:00,61.612038,65
2015-01-14 8:00,56.816174,60
2015-01-14 9:00,66.43984,70
2015-01-14 10:00,70.32476,74
2015-01-14 11:00,66.43984,70
2015-01-14 12:00,38.89158,41
2015-01-14 13:00,57.77277,61
2015-01-14 14:00,53.954185,57
2015-01-14 15:00,78.15393,82
2015-01-14 16:00,107.16709,111
2015-01-14 17:00,92.03984,96
